bandName,officalSite,imageUrl,youtube,metalArchives,wikipedia,country,genre,noteworthy,priorYears
Satan,www.facebook.com/officialsatanpage/,70000tons.com/wp-content/uploads/2025/07/SATAN_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Satan,https://www.metal-archives.com/bands/Satan/774,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Satan,United Kingdom,NWOBHM/Heavy Metal,,Never
Dark Tranquillity,www.darktranquillity.com/,70000tons.com/wp-content/uploads/2025/06/DARKTRANQUILITY_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Dark%20Tranquility,http://www.metal-archives.com/search?searchString=Dark%20Tranquility&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Dark%20Tranquility,Sweden,Melodic Death Metal,,2023 2018 2014 2011
Amorphis,amorphis.net/,70000tons.com/wp-content/uploads/2025/07/AMORPHIS_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Amorphis,http://www.metal-archives.com/search?searchString=Amorphis&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Amorphis,Finland,Melodic Heavy Metal,,2023 2017 2015 2012
Strike Master,www.facebook.com/strikemasterofficial/,70000tons.com/wp-content/uploads/2026/01/STRIKEMASTER_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Strike%20Master,https://www.metal-archives.com/bands/Strike_Master/47812,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Strike%20Master,Mexico,Thrash Metal,,Never
Haggard,www.haggard.de/,70000tons.com/wp-content/uploads/2025/06/HAGGARD_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Haggard,https://www.metal-archives.com/bands/Haggard/63,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Haggard,Germany,Classical-Orchestral-Symphonic Metal,,2020 2017 2014
Gama Bomb,www.facebook.com/gamabomb/,70000tons.com/wp-content/uploads/2025/07/GAMABOMB_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Gama%20Bomb,http://www.metal-archives.com/search?searchString=Gama%20Bomb&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Gama%20Bomb,United Kingdom,Thrash Metal,,2015
Firewind,firewind.gr/,70000tons.com/wp-content/uploads/2025/07/FIREWIND_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Firewind,http://www.metal-archives.com/search?searchString=Firewind&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Firewind,Greece,Heavy/Power Metal,,2016
Darkane,www.darkane.com/,70000tons.com/wp-content/uploads/2025/08/DARKANE_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Darkane,https://www.metal-archives.com/bands/Darkane/9,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Darkane,Sweden,Melodic Death/Thrash Metal,,Never
Vitam Et Mortem,www.facebook.com/vitametmortem/,70000tons.com/wp-content/uploads/2026/01/VITAMETMORTEM_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Vitam%20Et%20Mortem,https://www.metal-archives.com/bands/Vitam_et_Mortem/60243,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Vitam%20Et%20Mortem,Colombia,Death/Folk Metal (early); Death Metal (later),,Never
Cemetery Skyline,www.facebook.com/cemeteryskylineofficial/,70000tons.com/wp-content/uploads/2025/09/CEMETERYSKYLINE_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Cemetery%20Skyline,http://www.metal-archives.com/search?searchString=Cemetery%20Skyline&type=band_name,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Cemetery%20Skyline,Finland,Gothic Rock/Gothic Metal,,Never
Skeletal Remains,www.skeletal-remains.com/home,70000tons.com/wp-content/uploads/2025/06/SKELETAL_REMAINS_LOGO_WEB.png,https://www.youtube.com/results?search_query=official+music%20video+Skeletal%20Remains,https://www.metal-archives.com/bands/Skeletal_Remains/3540331659,https://en.wikipedia.org/wiki/Special:Search/insource:album%20insource:band%20intitle:Skeletal%20Remains,United States,Death Metal,,Never
