Band,Location,Date,Day,Start Time,End Time,Type,Description URL,Notes,ImageURL,ImageDate
Fleshgod Apocalypse,Rink,03/22/2026,Day 1,00:45,01:30,Show,,,,
Amorphis,Theater,03/22/2026,Day 1,01:15,2:15,Show,,,,
Seven Kingdoms,Lounge,03/22/2026,Day 1,02:15,03:00,Show,,,,
Arcturus,Theater,03/22/2026,Day 1,03:00,03:45,Show,,,,
Avulsed,Rink,03/22/2026,Day 1,03:45,04:30,Show,,,,
Vision Divine,Theater,03/22/2026,Day 1,04:30,05:15,Show,,,,
Vitam Et Mortem,Rink,03/22/2026,Day 1,05:15,6:00,Show,,,,
Strike Master,Lounge,03/22/2026,Day 1,19:00,19:45,Show,,,,
Gama Bomb,Lounge,03/22/2026,Day 1,20:30,21:15,Show,,,,
Cemetery Skyline,Rink,03/22/2026,Day 1,20:30,21:15,Show,,,,
Hammerfall,Theater,03/22/2026,Day 1,21:15,22:15,Show,,,,
Reaping Asmodeia,Lounge,03/22/2026,Day 1,22:15,23:00,Show,,,,
Anthrax,Theater,03/22/2026,Day 1,23:15,00:30,Show,,,,
Cemetery Skyline,Theater,03/23/2026,Day 1,01:15,2:00,Show,,,,
Suffocation,Theater,03/23/2026,Day 1,01:30,02:15,Show,,,,
Vitam Et Mortem,Lounge,03/23/2026,Day 1,02:00,2:45,Show,,,,
Wind Rose,Pool,03/23/2026,Day 1,02:00,02:45,Show,,,,
Mystic Prophecy,Theater,03/23/2026,Day 1,02:45,03:30,Show,,,,
Metsatoll,Theater,03/23/2026,Day 1,03:00,03:45,Show,,,,
Samael,Pool,03/23/2026,Day 1,03:45,04:30,Show,,Passage,,
T.H.E.M,Rink,03/23/2026,Day 1,04:15,5:00,Show,,,,
Matalobos,Rink,03/23/2026,Day 1,04:30,05:15,Show,,,,
Before The Dawn,Pool,03/23/2026,Day 1,05:00,05:45,Show,,,,
Bloodred Hourglass,Pool,03/23/2026,Day 1,05:00,5:45,Show,,,,
Abysmal Dawn,Pool,03/23/2026,Day 1,05:15,06:00,Show,,,,
Ex Deo,Pool,03/23/2026,Day 2,11:30,12:15,Show,,,,
Lich King,Pool,03/23/2026,Day 2,11:30,12:15,Show,,,,
Scar Symmetry,Pool,03/23/2026,Day 2,13:00,13:45,Show,,,,
Majestica,Theater,03/23/2026,Day 2,13:45,14:30,Show,,,,
Victory,Pool,03/23/2026,Day 2,14:30,15:15,Show,,Culture Killed The Native Set,,
Super Monster Party,Rink,03/23/2026,Day 2,14:30,15:15,Show,,,,
Iotunn,Lounge,03/23/2026,Day 2,15:15,16:00,Show,,,,
Warfield,Lounge,03/23/2026,Day 2,15:15,16:00,Show,,,,
Threshold,Theater,03/23/2026,Day 2,15:15,16:00,Show,,,,
Finntroll,Pool,03/23/2026,Day 2,16:00,17:00,Show,,,,
Grave Digger,Theater,03/23/2026,Day 2,17:00,18:00,Show,,,,
Shores of Null,Lounge,03/23/2026,Day 2,17:15,18:00,Show,,,,
Dirkschneider,Pool,03/23/2026,Day 2,18:00,19:00,Show,,,,
Unleashed,Pool,03/23/2026,Day 2,18:00,19:00,Show,,,,
Persefone,Lounge,03/23/2026,Day 2,18:15,19:00,Show,,,,
Incantation,Lounge,03/23/2026,Day 2,18:30,19:15,Show,,,,
Amorphis,Pool,03/23/2026,Day 2,19:00,20:00,Show,,,,
Angra,Theater,03/23/2026,Day 2,19:00,20:00,Show,,,,
Decembre Noir,Lounge,03/23/2026,Day 2,19:15,20:00,Show,,,,
Pessimist,Rink,03/23/2026,Day 2,19:15,20:00,Show,,,,
Lord of the Lost,Rink,03/23/2026,Day 2,20:00,20:45,Show,,,,
Stratovarius,Pool,03/23/2026,Day 2,20:00,21:05,Show,Vision,,,
Ereb Altor,Rink,03/23/2026,Day 2,20:45,21:30,Show,,,,
Edenbridge,Lounge,03/23/2026,Day 2,21:00,21:45,Show,,,,
Batushka,Theater,03/23/2026,Day 2,21:00,22:00,Show,,,,
Swallow The Sun,Theater,03/23/2026,Day 2,21:00,22:15,Show,,Featuring Ballet Finland,,
Skeletal Remains,Lounge,03/23/2026,Day 2,21:30,22:15,Show,,,,
Haggard,Theater,03/23/2026,Day 2,21:45,22:45,Show,,,,
Blood Red Throne,Rink,03/23/2026,Day 2,22:15,23:00,Show,,New Album World Premiere,,
Fleshcrawl,Lounge,03/23/2026,Day 2,23:15,00:00,Show,,,,
Sepultura,Theater,03/23/2026,Day 2,23:15,00:30,Show,,Farewell At Sea,,
Firewind,Theater,03/23/2026,Day 2,23:45,00:30,Show,,,,
Wind Rose,Pool,03/24/2026,Day 2,00:00,1:00,Show,,,,
Batushka,Pool,03/24/2026,Day 2,00:30,01:30,Show,,,,
Pessimist,Lounge,03/24/2026,Day 2,02:15,03:00,Show,,,,
Iotunn,Rink,03/24/2026,Day 2,03:00,03:45,Show,,,,
Blood Red Throne,Theater,03/24/2026,Day 2,03:00,03:45,Show,,,,
Incantation,Theater,03/24/2026,Day 2,03:00,03:45,Show,,,,
Skeletal Remains,Rink,03/24/2026,Day 2,04:15,5:00,Show,,,,
Darkane,Theater,03/24/2026,Day 3,10:45,11:30,Show,,,,
Minipony,Rink,03/24/2026,Day 3,11:15,12:00,Show,,,,
Satan,Rink,03/24/2026,Day 3,14:30,15:15,Show,,,,
Ereb Altor,Lounge,03/24/2026,Day 3,15:15,16:00,Show,,,,
Firewind,Pool,03/24/2026,Day 3,16:00,16:45,Show,,,,
T.H.E.M,Lounge,03/24/2026,Day 3,16:45,17:30,Show,,,,
Reaping Asmodeia,Rink,03/24/2026,Day 3,17:00,17:45,Show,,,,
Haggard,Pool,03/24/2026,Day 3,17:45,18:45,Show,,,,
Matalobos,Lounge,03/24/2026,Day 3,19:30,20:15,Show,,,,
Vision Divine,Lounge,03/24/2026,Day 3,19:30,20:15,Show,,,,
Trick Or Treat,Rink,03/24/2026,Day 3,20:30,21:15,Show,,,,
Grave Digger,Pool,03/24/2026,Day 3,20:30,21:30,Show,,,,
Dark Tranquillity,Theater,03/24/2026,Day 3,20:45,21:45,Show,,,,
In Virtue,Lounge,03/24/2026,Day 3,21:15,22:00,Show,,,,
Unleashed,Theater,03/24/2026,Day 3,21:30,22:30,Show,,,,
Anthrax,Pool,03/24/2026,Day 3,21:45,22:45,Show,,,,
Persefone,Rink,03/24/2026,Day 3,22:00,22:45,Show,,,,
Decembre Noir,Rink,03/24/2026,Day 3,22:15,23:00,Show,,,,
Bloodred Hourglass,Rink,03/24/2026,Day 3,23:45,00:30,Show,,,,
Ex Deo,Rink,03/24/2026,Day 3,23:45,00:30,Show,,,,
Scar Symmetry,Rink,03/24/2026,Day 3,23:45,00:30,Show,,,,
Stratovarius,Theater,03/24/2026,Day 3,23:45,00:45,Show,,,,
Majestica,Rink,03/25/2026,Day 3,01:30,02:15,Show,,Power Train Premier,,
Lord of the Lost,Pool,03/25/2026,Day 4,10:00,10:45,Show,,,,
In Virtue,Rink,03/25/2026,Day 4,10:45,11:30,Show,,,,
Fleshcrawl,Theater,03/25/2026,Day 4,10:45,11:30,Show,,,,
Victory,Lounge,03/25/2026,Day 4,11:30,12:15,Show,,,,
Strike Master,Rink,03/25/2026,Day 4,12:15,13:00,Show,,,,
Edenbridge,Theater,03/25/2026,Day 4,12:15,13:00,Show,,,,
Satan,Theater,03/25/2026,Day 4,12:15,13:00,Show,,,,
Abysmal Dawn,Lounge,03/25/2026,Day 4,13:00,13:45,Show,,,,
Avulsed,Lounge,03/25/2026,Day 4,13:00,13:45,Show,,,,
Trick Or Treat,Lounge,03/25/2026,Day 4,13:00,13:45,Show,,,,
Darkane,Pool,03/25/2026,Day 4,13:15,14:00,Show,,,,
Minipony,Lounge,03/25/2026,Day 4,14:45,15:30,Show,,,,
